Area,State,Year,Category,Hectares
Peninsular Malaysia,Kedah,2004,Non-Forested,597218
Peninsular Malaysia,Kedah,2005,Forested,345382
Peninsular Malaysia,Kedah,2005,Non-Forested,597218
Peninsular Malaysia,Kedah,2006,Forested,345382
Peninsular Malaysia,Kedah,2006,Non-Forested,597218
Peninsular Malaysia,Kedah,2007,Forested,345382
Peninsular Malaysia,Kedah,2007,Non-Forested,597218
Peninsular Malaysia,Kedah,2008,Forested,345382
Peninsular Malaysia,Kedah,2008,Non-Forested,597218
Peninsular Malaysia,Kedah,2009,Forested,345382
Peninsular Malaysia,Kedah,2009,Non-Forested,597218
Peninsular Malaysia,Kedah,2010,Forested,344871
Peninsular Malaysia,Kedah,2010,Non-Forested,597629
Peninsular Malaysia,Kedah,2011,Forested,344871
Peninsular Malaysia,Kedah,2011,Non-Forested,597629
Peninsular Malaysia,Kedah,2012,Forested,327721
Peninsular Malaysia,Kedah,2012,Non-Forested,614779
Peninsular Malaysia,Kedah,2013,Forested,344234
Peninsular Malaysia,Kedah,2013,Non-Forested,598266
Peninsular Malaysia,Kedah,2014,Forested,342431
Peninsular Malaysia,Kedah,2014,Non-Forested,557271
Peninsular Malaysia,Kedah,2015,Forested,342431
Peninsular Malaysia,Kedah,2015,Non-Forested,600069
Peninsular Malaysia,Kedah,2016,Forested,342431
Peninsular Malaysia,Kedah,2016,Non-Forested,600069
Peninsular Malaysia,Kedah,2017,Forested,342431
Peninsular Malaysia,Kedah,2017,Non-Forested,600069
Peninsular Malaysia,Kelantan,2000,Forested,894274
Peninsular Malaysia,Kelantan,2000,Non-Forested,598910
Peninsular Malaysia,Kelantan,2001,Forested,894274
Peninsular Malaysia,Kelantan,2001,Non-Forested,598910
Peninsular Malaysia,Kelantan,2002,Forested,894271
Peninsular Malaysia,Kelantan,2002,Non-Forested,598910
Peninsular Malaysia,Kelantan,2003,Forested,894271
Peninsular Malaysia,Kelantan,2003,Non-Forested,598910
Peninsular Malaysia,Kelantan,2004,Forested,894271
Peninsular Malaysia,Kelantan,2004,Non-Forested,598910
Peninsular Malaysia,Kelantan,2005,Forested,894591
Peninsular Malaysia,Kelantan,2005,Non-Forested,598590
Peninsular Malaysia,Kelantan,2006,Forested,894591
Peninsular Malaysia,Kelantan,2006,Non-Forested,598590
Peninsular Malaysia,Kelantan,2007,Forested,886767
Peninsular Malaysia,Kelantan,2007,Non-Forested,606414
Peninsular Malaysia,Kelantan,2008,Forested,867866
Peninsular Malaysia,Kelantan,2008,Non-Forested,634334
Peninsular Malaysia,Kelantan,2009,Forested,864017
Peninsular Malaysia,Kelantan,2009,Non-Forested,638183
Peninsular Malaysia,Kelantan,2010,Forested,862196
Peninsular Malaysia,Kelantan,2010,Non-Forested,648304
Peninsular Malaysia,Kelantan,2011,Forested,812196
Peninsular Malaysia,Kelantan,2011,Non-Forested,698304
Peninsular Malaysia,Kelantan,2012,Forested,812196
Peninsular Malaysia,Kelantan,2012,Non-Forested,698304
Peninsular Malaysia,Kelantan,2013,Forested,812196
Peninsular Malaysia,Kelantan,2013,Non-Forested,698304
Peninsular Malaysia,Kelantan,2014,Forested,812196
Peninsular Malaysia,Kelantan,2014,Non-Forested,690181
Peninsular Malaysia,Kelantan,2015,Forested,812196
Peninsular Malaysia,Kelantan,2015,Non-Forested,698304
Peninsular Malaysia,Kelantan,2016,Forested,812196
Peninsular Malaysia,Kelantan,2016,Non-Forested,698304
Peninsular Malaysia,Kelantan,2017,Forested,810415
Peninsular Malaysia,Kelantan,2017,Non-Forested,700047
Peninsular Malaysia,Melaka,2000,Forested,6532
Peninsular Malaysia,Melaka,2000,Non-Forested,158572
Peninsular Malaysia,Melaka,2001,Forested,6662
Peninsular Malaysia,Melaka,2001,Non-Forested,158442
Peninsular Malaysia,Melaka,2002,Forested,6662
Peninsular Malaysia,Melaka,2002,Non-Forested,158442
Peninsular Malaysia,Melaka,2003,Forested,6668
Peninsular Malaysia,Melaka,2003,Non-Forested,158436
Peninsular Malaysia,Melaka,2004,Forested,6385
Peninsular Malaysia,Melaka,2004,Non-Forested,158719
Peninsular Malaysia,Melaka,2005,Forested,6385
Peninsular Malaysia,Melaka,2005,Non-Forested,158719
Peninsular Malaysia,Melaka,2006,Forested,6359
Peninsular Malaysia,Melaka,2006,Non-Forested,158745
Peninsular Malaysia,Melaka,2007,Forested,5307
Peninsular Malaysia,Melaka,2007,Non-Forested,159797
Peninsular Malaysia,Melaka,2008,Forested,5328
Peninsular Malaysia,Melaka,2008,Non-Forested,160240
Peninsular Malaysia,Melaka,2009,Forested,5328
Peninsular Malaysia,Melaka,2009,Non-Forested,160240
Peninsular Malaysia,Melaka,2010,Forested,5327
Peninsular Malaysia,Melaka,2010,Non-Forested,159873
Peninsular Malaysia,Melaka,2011,Forested,5066
Peninsular Malaysia,Melaka,2011,Non-Forested,160134
Peninsular Malaysia,Melaka,2012,Forested,5399
Peninsular Malaysia,Melaka,2012,Non-Forested,159801
Peninsular Malaysia,Melaka,2013,Forested,5399
Peninsular Malaysia,Melaka,2013,Non-Forested,159801
Peninsular Malaysia,Melaka,2014,Forested,5399
Peninsular Malaysia,Melaka,2014,Non-Forested,159767
Peninsular Malaysia,Melaka,2015,Forested,5352
Peninsular Malaysia,Melaka,2015,Non-Forested,159848
Peninsular Malaysia,Melaka,2016,Forested,5385
Peninsular Malaysia,Melaka,2016,Non-Forested,159815
Peninsular Malaysia,Melaka,2017,Forested,5386
Peninsular Malaysia,Melaka,2017,Non-Forested,165914
Peninsular Malaysia,Negeri Sembilan,2000,Forested,219647
Peninsular Malaysia,Negeri Sembilan,2000,Non-Forested,444944
Peninsular Malaysia,Negeri Sembilan,2001,Forested,171897
Peninsular Malaysia,Negeri Sembilan,2001,Non-Forested,492694
Peninsular Malaysia,Negeri Sembilan,2002,Forested,171697
Peninsular Malaysia,Negeri Sembilan,2002,Non-Forested,492894
Peninsular Malaysia,Negeri Sembilan,2003,Forested,169535
Peninsular Malaysia,Negeri Sembilan,2003,Non-Forested,495056
Peninsular Malaysia,Negeri Sembilan,2004,Forested,166037
Peninsular Malaysia,Negeri Sembilan,2004,Non-Forested,498554
Peninsular Malaysia,Negeri Sembilan,2005,Forested,164047
Peninsular Malaysia,Negeri Sembilan,2005,Non-Forested,500544
Peninsular Malaysia,Negeri Sembilan,2006,Forested,160171
Peninsular Malaysia,Negeri Sembilan,2006,Non-Forested,504420
Peninsular Malaysia,Negeri Sembilan,2007,Forested,158081
Peninsular Malaysia,Negeri Sembilan,2007,Non-Forested,506510
Peninsular Malaysia,Negeri Sembilan,2008,Forested,159724
Peninsular Malaysia,Negeri Sembilan,2008,Non-Forested,504867
Peninsular Malaysia,Negeri Sembilan,2009,Forested,160873
Peninsular Malaysia,Negeri Sembilan,2009,Non-Forested,503718
Peninsular Malaysia,Negeri Sembilan,2010,Forested,157676
Peninsular Malaysia,Negeri Sembilan,2010,Non-Forested,508033
Peninsular Malaysia,Negeri Sembilan,2011,Forested,157298
Peninsular Malaysia,Negeri Sembilan,2011,Non-Forested,508411
Peninsular Malaysia,Negeri Sembilan,2012,Forested,158417
Peninsular Malaysia,Negeri Sembilan,2012,Non-Forested,507292
Peninsular Malaysia,Negeri Sembilan,2013,Forested,158416
Peninsular Malaysia,Negeri Sembilan,2013,Non-Forested,507293
Peninsular Malaysia,Negeri Sembilan,2014,Forested,158416
Peninsular Malaysia,Negeri Sembilan,2014,Non-Forested,506860
Peninsular Malaysia,Negeri Sembilan,2015,Forested,158147
Peninsular Malaysia,Negeri Sembilan,2015,Non-Forested,507562
Peninsular Malaysia,Negeri Sembilan,2016,Forested,158089
Peninsular Malaysia,Negeri Sembilan,2016,Non-Forested,507620
Peninsular Malaysia,Negeri Sembilan,2017,Forested,158089
Peninsular Malaysia,Negeri Sembilan,2017,Non-Forested,507620
Peninsular Malaysia,Pahang,2000,Forested,2054796
Peninsular Malaysia,Pahang,2000,Non-Forested,1541789
Peninsular Malaysia,Pahang,2001,Forested,2051354
Peninsular Malaysia,Pahang,2001,Non-Forested,1545231
Peninsular Malaysia,Pahang,2002,Forested,2030715
Peninsular Malaysia,Pahang,2002,Non-Forested,1565870
Peninsular Malaysia,Pahang,2003,Forested,2029835
Peninsular Malaysia,Pahang,2003,Non-Forested,1566750
Peninsular Malaysia,Pahang,2004,Forested,2029835
Peninsular Malaysia,Pahang,2004,Non-Forested,1566750
Peninsular Malaysia,Pahang,2005,Forested,2025204
Peninsular Malaysia,Pahang,2005,Non-Forested,1571381
Peninsular Malaysia,Pahang,2006,Forested,2025204
Peninsular Malaysia,Pahang,2006,Non-Forested,1571381
Peninsular Malaysia,Pahang,2007,Forested,1981185
Peninsular Malaysia,Pahang,2007,Non-Forested,1615400
Peninsular Malaysia,Pahang,2008,Forested,2068199
Peninsular Malaysia,Pahang,2008,Non-Forested,1528386
Peninsular Malaysia,Pahang,2009,Forested,2068605
Peninsular Malaysia,Pahang,2009,Non-Forested,1527980
Peninsular Malaysia,Pahang,2010,Forested,2068605
Peninsular Malaysia,Pahang,2010,Non-Forested,1527895
Peninsular Malaysia,Pahang,2011,Forested,2068605
Peninsular Malaysia,Pahang,2011,Non-Forested,1527895
Peninsular Malaysia,Pahang,2012,Forested,2068605
Peninsular Malaysia,Pahang,2012,Non-Forested,1527895
Peninsular Malaysia,Pahang,2013,Forested,2068605
Peninsular Malaysia,Pahang,2013,Non-Forested,1527895
Peninsular Malaysia,Pahang,2014,Forested,2068081
Peninsular Malaysia,Pahang,2014,Non-Forested,1510869
Peninsular Malaysia,Pahang,2015,Forested,2068082
Peninsular Malaysia,Pahang,2015,Non-Forested,1528418
Peninsular Malaysia,Pahang,2016,Forested,2056678
Peninsular Malaysia,Pahang,2016,Non-Forested,1539822
Peninsular Malaysia,Pahang,2017,Forested,2056678
Peninsular Malaysia,Pahang,2017,Non-Forested,1539822
Peninsular Malaysia,Perak,2000,Forested,1050225
Peninsular Malaysia,Perak,2000,Non-Forested,1051897
Peninsular Malaysia,Perak,2001,Forested,1050225
Peninsular Malaysia,Perak,2001,Non-Forested,1051897
Peninsular Malaysia,Perak,2002,Forested,1048632
Peninsular Malaysia,Perak,2002,Non-Forested,1053490
Peninsular Malaysia,Perak,2003,Forested,1050225
Peninsular Malaysia,Perak,2003,Non-Forested,1051897
Peninsular Malaysia,Perak,2004,Forested,1050225
Peninsular Malaysia,Perak,2004,Non-Forested,1051897
Peninsular Malaysia,Perak,2005,Forested,1050225
Peninsular Malaysia,Perak,2005,Non-Forested,1051897
Peninsular Malaysia,Perak,2006,Forested,1050225
Peninsular Malaysia,Perak,2006,Non-Forested,1051897
Peninsular Malaysia,Perak,2007,Forested,1050225
Peninsular Malaysia,Perak,2007,Non-Forested,1051897
Peninsular Malaysia,Perak,2008,Forested,1035704
Peninsular Malaysia,Perak,2008,Non-Forested,1066418
Peninsular Malaysia,Perak,2009,Forested,1035704
Peninsular Malaysia,Perak,2009,Non-Forested,1066418
Peninsular Malaysia,Perak,2010,Forested,1031779
Peninsular Malaysia,Perak,2010,Non-Forested,1070421
Peninsular Malaysia,Perak,2011,Forested,1030530
Peninsular Malaysia,Perak,2011,Non-Forested,1071670
Peninsular Malaysia,Perak,2012,Forested,1027404
Peninsular Malaysia,Perak,2012,Non-Forested,1074796
Peninsular Malaysia,Perak,2013,Forested,1047884
Peninsular Malaysia,Perak,2013,Non-Forested,1054316
Peninsular Malaysia,Perak,2014,Forested,1022274
Peninsular Malaysia,Perak,2014,Non-Forested,1069283
Peninsular Malaysia,Perak,2015,Forested,1021795
Peninsular Malaysia,Perak,2015,Non-Forested,1080405
Peninsular Malaysia,Perak,2016,Forested,1021780
Peninsular Malaysia,Perak,2016,Non-Forested,1080420
Peninsular Malaysia,Perak,2017,Forested,1020178
Peninsular Malaysia,Perak,2017,Non-Forested,1083622
Peninsular Malaysia,Perlis,2000,Forested,11555
Peninsular Malaysia,Perlis,2000,Non-Forested,68747
Peninsular Malaysia,Perlis,2001,Forested,11555
Peninsular Malaysia,Perlis,2001,Non-Forested,68747
Peninsular Malaysia,Perlis,2002,Forested,11555
Peninsular Malaysia,Perlis,2002,Non-Forested,68747
Peninsular Malaysia,Perlis,2003,Forested,11555
Peninsular Malaysia,Perlis,2003,Non-Forested,68747
Peninsular Malaysia,Perlis,2004,Forested,11555
Peninsular Malaysia,Perlis,2004,Non-Forested,68747
Peninsular Malaysia,Perlis,2005,Forested,11555
Peninsular Malaysia,Perlis,2005,Non-Forested,68747
Peninsular Malaysia,Perlis,2006,Forested,11555
Peninsular Malaysia,Perlis,2006,Non-Forested,68747
Peninsular Malaysia,Perlis,2007,Forested,11555
Peninsular Malaysia,Perlis,2007,Non-Forested,68747
Peninsular Malaysia,Perlis,2008,Forested,10972
Peninsular Malaysia,Perlis,2008,Non-Forested,69330
Peninsular Malaysia,Perlis,2009,Forested,11479
Peninsular Malaysia,Perlis,2009,Non-Forested,70361
Peninsular Malaysia,Perlis,2010,Forested,11479
Peninsular Malaysia,Perlis,2010,Non-Forested,68021
Peninsular Malaysia,Perlis,2011,Forested,11470
Peninsular Malaysia,Perlis,2011,Non-Forested,68030
Peninsular Malaysia,Perlis,2012,Forested,11532
Peninsular Malaysia,Perlis,2012,Non-Forested,67968
Peninsular Malaysia,Perlis,2013,Forested,11532
Peninsular Malaysia,Perlis,2013,Non-Forested,67968
Peninsular Malaysia,Perlis,2014,Forested,11532
Peninsular Malaysia,Perlis,2014,Non-Forested,69888
Peninsular Malaysia,Perlis,2015,Forested,11532
Peninsular Malaysia,Perlis,2015,Non-Forested,67968
Peninsular Malaysia,Perlis,2016,Forested,11532
Peninsular Malaysia,Perlis,2016,Non-Forested,67968
Peninsular Malaysia,Perlis,2017,Forested,11532
Peninsular Malaysia,Perlis,2017,Non-Forested,67968
Peninsular Malaysia,Pulau Pinang,2000,Forested,7254
Peninsular Malaysia,Pulau Pinang,2000,Non-Forested,95896
Peninsular Malaysia,Pulau Pinang,2001,Forested,7254
Peninsular Malaysia,Pulau Pinang,2001,Non-Forested,95896
Peninsular Malaysia,Pulau Pinang,2002,Forested,7809
Peninsular Malaysia,Pulau Pinang,2002,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2003,Forested,7514
Peninsular Malaysia,Pulau Pinang,2003,Non-Forested,95636
Peninsular Malaysia,Pulau Pinang,2004,Forested,7809
Peninsular Malaysia,Pulau Pinang,2004,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2005,Forested,7809
Peninsular Malaysia,Pulau Pinang,2005,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2006,Forested,7809
Peninsular Malaysia,Pulau Pinang,2006,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2007,Forested,7809
Peninsular Malaysia,Pulau Pinang,2007,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2008,Forested,7809
Peninsular Malaysia,Pulau Pinang,2008,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2009,Forested,7809
Peninsular Malaysia,Pulau Pinang,2009,Non-Forested,95341
Peninsular Malaysia,Pulau Pinang,2010,Forested,7809
Peninsular Malaysia,Pulau Pinang,2010,Non-Forested,95295
Peninsular Malaysia,Pulau Pinang,2011,Forested,7809
Peninsular Malaysia,Pulau Pinang,2011,Non-Forested,95295
Peninsular Malaysia,Pulau Pinang,2012,Forested,7809
Peninsular Malaysia,Pulau Pinang,2012,Non-Forested,95291
Peninsular Malaysia,Pulau Pinang,2013,Forested,7771
Peninsular Malaysia,Pulau Pinang,2013,Non-Forested,95329
Peninsular Malaysia,Pulau Pinang,2014,Forested,7761
Peninsular Malaysia,Pulau Pinang,2014,Non-Forested,95339
Peninsular Malaysia,Pulau Pinang,2015,Forested,7761
Peninsular Malaysia,Pulau Pinang,2015,Non-Forested,95339
Peninsular Malaysia,Pulau Pinang,2016,Forested,7761
Peninsular Malaysia,Pulau Pinang,2016,Non-Forested,95339
Peninsular Malaysia,Pulau Pinang,2017,Forested,7761
Peninsular Malaysia,Pulau Pinang,2017,Non-Forested,95343
Sabah & Sarawak,Sabah,2000,Forested,4425000
Sabah & Sarawak,Sabah,2000,Non-Forested,2946267
Sabah & Sarawak,Sabah,2001,Forested,4420000
Sabah & Sarawak,Sabah,2001,Non-Forested,2951267
Sabah & Sarawak,Sabah,2002,Forested,4412000
Sabah & Sarawak,Sabah,2002,Non-Forested,2959267
Sabah & Sarawak,Sabah,2003,Forested,4400000
Sabah & Sarawak,Sabah,2003,Non-Forested,2971267
Sabah & Sarawak,Sabah,2004,Forested,4380000
Sabah & Sarawak,Sabah,2004,Non-Forested,2991267
Sabah & Sarawak,Sabah,2005,Forested,4360000
Sabah & Sarawak,Sabah,2005,Non-Forested,3011267
Sabah & Sarawak,Sabah,2006,Forested,4340000
Sabah & Sarawak,Sabah,2006,Non-Forested,3147564
Sabah & Sarawak,Sabah,2007,Forested,4320000
Sabah & Sarawak,Sabah,2007,Non-Forested,3167564
Sabah & Sarawak,Sabah,2008,Forested,4300000
Sabah & Sarawak,Sabah,2008,Non-Forested,3187564
Sabah & Sarawak,Sabah,2009,Forested,4305512
Sabah & Sarawak,Sabah,2009,Non-Forested,3182052
Sabah & Sarawak,Sabah,2010,Forested,4435989
Sabah & Sarawak,Sabah,2010,Non-Forested,2926010
Sabah & Sarawak,Sabah,2011,Forested,4435989
Sabah & Sarawak,Sabah,2011,Non-Forested,2926010
Sabah & Sarawak,Sabah,2012,Forested,4429998
Sabah & Sarawak,Sabah,2012,Non-Forested,2932002
Sabah & Sarawak,Sabah,2013,Forested,4429998
Sabah & Sarawak,Sabah,2013,Non-Forested,2926010
Sabah & Sarawak,Sabah,2014,Forested,4435990
Sabah & Sarawak,Sabah,2014,Non-Forested,2995060
Sabah & Sarawak,Sabah,2015,Forested,4435990
Sabah & Sarawak,Sabah,2015,Non-Forested,2995060
Sabah & Sarawak,Sabah,2016,Forested,4435990
Sabah & Sarawak,Sabah,2016,Non-Forested,2995060
Sabah & Sarawak,Sabah,2017,Forested,4558368
Sabah & Sarawak,Sabah,2017,Non-Forested,2803632
Sabah & Sarawak,Sarawak,2000,Forested,8203600
Sabah & Sarawak,Sarawak,2000,Non-Forested,4112000
Sabah & Sarawak,Sarawak,2001,Forested,8115000
Sabah & Sarawak,Sarawak,2001,Non-Forested,4200600
Sabah & Sarawak,Sarawak,2002,Forested,8106100
Sabah & Sarawak,Sarawak,2002,Non-Forested,4209500
Sabah & Sarawak,Sarawak,2003,Forested,8096000
Sabah & Sarawak,Sarawak,2003,Non-Forested,4219600
Sabah & Sarawak,Sarawak,2004,Forested,8091000
Sabah & Sarawak,Sarawak,2004,Non-Forested,4224600
Sabah & Sarawak,Sarawak,2005,Forested,8064600
Sabah & Sarawak,Sarawak,2005,Non-Forested,4251000
Sabah & Sarawak,Sarawak,2006,Forested,8045173
Sabah & Sarawak,Sarawak,2006,Non-Forested,4270427
Sabah & Sarawak,Sarawak,2007,Forested,8064600
Sabah & Sarawak,Sarawak,2007,Non-Forested,4251000
Sabah & Sarawak,Sarawak,2008,Forested,8064643
Sabah & Sarawak,Sarawak,2008,Non-Forested,4250957
Sabah & Sarawak,Sarawak,2009,Forested,8064646
Sabah & Sarawak,Sarawak,2009,Non-Forested,4250954
Sabah & Sarawak,Sarawak,2010,Forested,7626791
Sabah & Sarawak,Sarawak,2010,Non-Forested,4770520
Sabah & Sarawak,Sarawak,2011,Forested,7687631
Sabah & Sarawak,Sarawak,2011,Non-Forested,4709680
Sabah & Sarawak,Sarawak,2012,Forested,7795000
Sabah & Sarawak,Sarawak,2012,Non-Forested,4602311
Sabah & Sarawak,Sarawak,2013,Forested,7795000
Sabah & Sarawak,Sarawak,2013,Non-Forested,4602311
Sabah & Sarawak,Sarawak,2014,Forested,8034000
Sabah & Sarawak,Sarawak,2014,Non-Forested,4363311
Sabah & Sarawak,Sarawak,2015,Forested,8046448
Sabah & Sarawak,Sarawak,2015,Non-Forested,4350863
Sabah & Sarawak,Sarawak,2016,Forested,7909985
Sabah & Sarawak,Sarawak,2016,Non-Forested,4487326
Sabah & Sarawak,Sarawak,2017,Forested,7999066
Sabah & Sarawak,Sarawak,2017,Non-Forested,4598245
Peninsular Malaysia,Selangor,2000,Forested,243198
Peninsular Malaysia,Selangor,2000,Non-Forested,552886
Peninsular Malaysia,Selangor,2001,Forested,242530
Peninsular Malaysia,Selangor,2001,Non-Forested,548623
Peninsular Malaysia,Selangor,2002,Forested,246646
Peninsular Malaysia,Selangor,2002,Non-Forested,544507
Peninsular Malaysia,Selangor,2003,Forested,241667
Peninsular Malaysia,Selangor,2003,Non-Forested,549486
Peninsular Malaysia,Selangor,2004,Forested,241667
Peninsular Malaysia,Selangor,2004,Non-Forested,549486
Peninsular Malaysia,Selangor,2005,Forested,241289
Peninsular Malaysia,Selangor,2005,Non-Forested,554795
Peninsular Malaysia,Selangor,2006,Forested,235212
Peninsular Malaysia,Selangor,2006,Non-Forested,555872
Peninsular Malaysia,Selangor,2007,Forested,248289
Peninsular Malaysia,Selangor,2007,Non-Forested,542795
Peninsular Malaysia,Selangor,2008,Forested,243176
Peninsular Malaysia,Selangor,2008,Non-Forested,547908
Peninsular Malaysia,Selangor,2009,Forested,247793
Peninsular Malaysia,Selangor,2009,Non-Forested,543291
Peninsular Malaysia,Selangor,2010,Forested,250860
Peninsular Malaysia,Selangor,2010,Non-Forested,542160
Peninsular Malaysia,Selangor,2011,Forested,250860
Peninsular Malaysia,Selangor,2011,Non-Forested,542160
Peninsular Malaysia,Selangor,2012,Forested,250860
Peninsular Malaysia,Selangor,2012,Non-Forested,542160
Peninsular Malaysia,Selangor,2013,Forested,250860
Peninsular Malaysia,Selangor,2013,Non-Forested,542160
Peninsular Malaysia,Selangor,2014,Forested,250860
Peninsular Malaysia,Selangor,2014,Non-Forested,524021
Peninsular Malaysia,Selangor,2015,Forested,250860
Peninsular Malaysia,Selangor,2015,Non-Forested,542160
Peninsular Malaysia,Selangor,2016,Forested,250860
Peninsular Malaysia,Selangor,2016,Non-Forested,542160
Peninsular Malaysia,Selangor,2017,Forested,250860
Peninsular Malaysia,Selangor,2017,Non-Forested,542160
Peninsular Malaysia,Terengganu,2000,Forested,668168
Peninsular Malaysia,Terengganu,2000,Non-Forested,627398
Peninsular Malaysia,Terengganu,2001,Forested,664829
Peninsular Malaysia,Terengganu,2001,Non-Forested,630737
Peninsular Malaysia,Terengganu,2002,Forested,652978
Peninsular Malaysia,Terengganu,2002,Non-Forested,642588
Peninsular Malaysia,Terengganu,2003,Forested,646436
Peninsular Malaysia,Terengganu,2003,Non-Forested,649130
Peninsular Malaysia,Terengganu,2004,Forested,640669
Peninsular Malaysia,Terengganu,2004,Non-Forested,654897
Peninsular Malaysia,Terengganu,2005,Forested,648570
Peninsular Malaysia,Terengganu,2005,Non-Forested,646996
Peninsular Malaysia,Terengganu,2006,Forested,656325
Peninsular Malaysia,Terengganu,2006,Non-Forested,639241
Peninsular Malaysia,Terengganu,2007,Forested,656325
Peninsular Malaysia,Terengganu,2007,Non-Forested,639241
Peninsular Malaysia,Terengganu,2008,Forested,654625
Peninsular Malaysia,Terengganu,2008,Non-Forested,640941
Peninsular Malaysia,Terengganu,2009,Forested,654625
Peninsular Malaysia,Terengganu,2009,Non-Forested,640941
Peninsular Malaysia,Terengganu,2010,Forested,654625
Peninsular Malaysia,Terengganu,2010,Non-Forested,640975
Peninsular Malaysia,Terengganu,2011,Forested,649741
Peninsular Malaysia,Terengganu,2011,Non-Forested,645859
Peninsular Malaysia,Terengganu,2012,Forested,649739
Peninsular Malaysia,Terengganu,2012,Non-Forested,645861
Peninsular Malaysia,Terengganu,2013,Forested,655362
Peninsular Malaysia,Terengganu,2013,Non-Forested,640238
Peninsular Malaysia,Terengganu,2014,Forested,655444
Peninsular Malaysia,Terengganu,2014,Non-Forested,635035
Peninsular Malaysia,Terengganu,2015,Forested,655444
Peninsular Malaysia,Terengganu,2015,Non-Forested,640156
Peninsular Malaysia,Terengganu,2016,Forested,655390
Peninsular Malaysia,Terengganu,2016,Non-Forested,640210
Peninsular Malaysia,Terengganu,2017,Forested,652918
Peninsular Malaysia,Terengganu,2017,Non-Forested,644482
Peninsular Malaysia,W.P. Kuala Lumpur,2000,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2000,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2001,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2001,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2002,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2002,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2003,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2003,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2004,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2004,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2005,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2005,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2006,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2006,Non-Forested,24339
Peninsular Malaysia,W.P. Kuala Lumpur,2007,Forested,61
Peninsular Malaysia,W.P. Kuala Lumpur,2007,Non-Forested,29270
